,react,C0C7_num
57,Cc1ccccc1-n1cnc2ccccc21,[c:1]([H:0])1[n:2](-[c:6]2[c:19]([CH3:17])[cH:18][cH:20][cH:21][cH:22]2)[c:5]2[c:4]([n:3]1)[cH:11][cH:12][cH:13][cH:14]2
58,Cc1cccc(-n2cnc3ccccc32)c1,[c:1]([H:0])1[n:2](-[c:22]2[cH:15][c:19]([CH3:17])[cH:18][cH:20][cH:21]2)[c:5]2[c:4]([n:3]1)[cH:10][cH:11][cH:12][cH:13]2
59,Cc1ccc(-n2cnc3ccccc32)cc1,[c:1]([H:0])1[n:2](-[c:21]2[cH:14][cH:15][c:19]([CH3:17])[cH:18][cH:20]2)[c:5]2[c:4]([n:3]1)[cH:9][cH:10][cH:11][cH:12]2
60,CC(C)(C)c1ccc(-n2cnc3ccccc32)cc1,[c:1]([H:0])1[n:2](-[c:7]2[cH:6][cH:25][c:24]([C:22]([CH3:20])([CH3:21])[CH3:23])[cH:18][cH:17]2)[c:5]2[c:4]([n:3]1)[cH:12][cH:13][cH:14][cH:15]2
61,COc1ccc(-n2cnc3ccccc32)cc1,[c:1]([H:0])1[n:2](-[c:23]2[cH:15][cH:16][c:19]([O:20][CH3:18])[cH:21][cH:22]2)[c:5]2[c:4]([n:3]1)[cH:10][cH:11][cH:12][cH:13]2
62,Cn1ccnc1,[c:1]([H:0])1[n:2]([CH3:7])[cH:4][cH:5][n:3]1
63,Cn1cncc1-c1ccccc1,[c:1]([H:0])1[n:2]([CH3:13])[c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[cH:4][n:3]1
64,c1ccc(-n2ccnc2)cc1,[c:1]([H:0])1[n:2](-[c:14]2[cH:9][cH:10][cH:12][cH:15][cH:13]2)[cH:4][cH:5][n:3]1
65,Cc1cc(C)c(-n2ccnc2)c(C)c1,[c:1]([H:0])1[n:2](-[c:18]2[c:11]([CH3:12])[cH:13][c:20]([CH3:15])[cH:16][c:19]2[CH3:17])[cH:4][cH:5][n:3]1
66,c1ccc2cnccc2c1,[cH:9]1[cH:7][cH:5][c:3]2[c:1]([H:0])[n:2][c:6][cH:8][c:4]2[cH:10]1
67,Cc1cc2ccccc2cn1,[cH:9]1[cH:11][cH:5][c:3]2[c:1]([H:0])[n:2][c:6]([CH3:7])[cH:8][c:4]2[cH:10]1
68,c1ccn2cncc2c1,[c:1]([H:0])1[n:2]2[c:5]([cH:4][n:3]1)[cH:8][cH:10][cH:12][cH:11]2
69,c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,B1([c:1]2[cH:2][cH:6][cH:6][cH:6][cH:3]2)[O:4][B:8]([c:6]2[cH:6][cH:6][cH:6][cH:6][cH:6]2)[O:6][B:7]([c:6]2[cH:6][cH:6][cH:6][cH:6][cH:6]2)[O:5]1
70,Cc1ccc(B2OB(c3ccc(C)cc3)OB(c3ccc(C)cc3)O2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([CH3:6])[cH:6][cH:3]2)[O:4][B:8]([c:6]2[cH:6][cH:6][c:6]([CH3:6])[cH:6][cH:6]2)[O:6][B:7]([c:6]2[cH:6][cH:6][c:6]([CH3:6])[cH:6][cH:6]2)[O:5]1
71,Cc1cccc(B2OB(c3cccc(C)c3)OB(c3cccc(C)c3)O2)c1,B1([c:1]2[cH:2][cH:6][cH:6][c:6]([CH3:6])[cH:3]2)[O:4][B:8]([c:6]2[cH:6][cH:6][cH:6][c:6]([CH3:6])[cH:6]2)[O:6][B:7]([c:6]2[cH:6][cH:6][cH:6][c:6]([CH3:6])[cH:6]2)[O:5]1
72,Cc1ccccc1B1OB(c2ccccc2C)OB(c2ccccc2C)O1,B1([c:1]2[cH:2][cH:6][cH:6][cH:6][c:3]2[CH3:6])[O:4][B:8]([c:6]2[cH:6][cH:6][cH:6][cH:6][c:6]2[CH3:6])[O:6][B:7]([c:6]2[cH:6][cH:6][cH:6][cH:6][c:6]2[CH3:6])[O:5]1
