react,fragC,fragO,product,C0O1_num
CC(C)(C)C(=O)Oc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,*c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,*OC(=O)C(C)(C)C,CC[Si](CC)(CC)c2ccc(B1OC(C)(C)C(C)(C)O1)cc2,c1([O:1][C:4](=[O:5])[C:22]([CH3:2])([CH3:3])[CH3:23])[cH:8][cH:9][c:10]([B:11]2[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]2)[cH:20][cH:21]1
CC(C)(C)C(=O)Oc1ccc(C(=O)C(C)(C)C)cc1,*c1ccc(C(=O)C(C)(C)C)cc1,*OC(=O)C(C)(C)C,CC[Si](CC)(CC)c1ccc(C(=O)C(C)(C)C)cc1,c1([O:1][C:4](=[O:5])[C:19]([CH3:2])([CH3:3])[CH3:20])[cH:8][cH:9][c:10]([C:11](=[O:12])[C:13]([CH3:14])([CH3:15])[CH3:16])[cH:17][cH:18]1
COc1cccc(OC(=O)C(C)(C)C)c1,*OC(=O)C(C)(C)C,*c1cccc(OC)c1,CC[Si](CC)(CC)c1cccc(OC)c1,c1([O:1][C:8](=[O:9])[C:10]([CH3:11])([CH3:12])[CH3:13])[cH:5][cH:4][cH:3][c:2]([O:16][CH3:15])[cH:14]1
CN(C)c1cccc(OC(=O)C(C)(C)C)c1,*OC(=O)C(C)(C)C,*c1cccc(N(C)C)c1,CC[Si](CC)(CC)c1cccc(N(C)C)c1,c1([O:1][C:9](=[O:10])[C:11]([CH3:12])([CH3:13])[CH3:14])[cH:6][cH:5][cH:4][c:3]([N:17]([CH3:2])[CH3:16])[cH:15]1
Cc1ccc(C)c(OC(=O)C(C)(C)C)c1,*OC(=O)C(C)(C)C,*c1cc(C)ccc1C,CC[Si](CC)(CC)c1cc(C)ccc1C,c1([O:1][C:8](=[O:9])[C:10]([CH3:11])([CH3:12])[CH3:13])[c:4]([CH3:5])[cH:3][cH:2][c:16]([CH3:15])[cH:14]1
CC(C)(C)C(=O)Oc1ccccc1-c1ccccc1,*c1ccccc1-c1ccccc1,*OC(=O)C(C)(C)C,CC[Si](CC)(CC)c1ccccc1c2ccccc2,c1([O:1][C:4](=[O:5])[C:19]([CH3:2])([CH3:3])[CH3:20])[cH:8][cH:9][cH:10][cH:11][c:12]1-[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1
CC(C)(C)C(=O)Oc1ccc2c(c1)OCO2,*OC(=O)C(C)(C)C,*c1ccc2c(c1)OCO2,CC[Si](CC)(CC)c2ccc1OCOc1c2,c1([O:1][C:4](=[O:5])[C:16]([CH3:2])([CH3:3])[CH3:17])[cH:8][cH:9][c:10]2[c:11]([cH:12]1)[O:13][CH2:14][O:15]2
CC(C)(C)C(=O)Oc1ccc2c(c1)oc1ccccc12,*c1ccc2c(c1)oc1ccccc12,*OC(=O)C(C)(C)C,CC[Si](CC)(CC)c1ccc3c(c1)oc2ccccc23,c1([O:1][C:4](=[O:5])[C:20]([CH3:2])([CH3:3])[CH3:21])[cH:8][cH:9][c:10]2[c:11]([cH:12]1)[o:13][c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]21
COc1ccccc1C(=O)Oc1ccc2ccccc2c1,*OC,*c1ccccc1C(=O)Oc1ccc2ccccc2c1,O=C(O)c2ccc1ccccc1c2,[c:11]1([O:10][CH3:21])[cH:3][cH:4][cH:5][cH:6][c:7]1[C:8](=[O:9])[O:1]c1[cH:12][cH:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[cH:20]1
CC(C)(C)C(=O)Oc1ccc2cc(-c3ccccc3)ccc2c1,*c1ccc2cc(-c3ccccc3)ccc2c1,*OC(=O)C(C)(C)C,O=C(O)c3ccc2cc(c1ccccc1)ccc2c3,c1([O:1][C:4](=[O:5])[C:23]([CH3:2])([CH3:3])[CH3:24])[cH:8][cH:9][c:10]2[cH:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[cH:19][cH:20][c:21]2[cH:22]1
CC(C)(C)C(=O)Oc1ccc(Cc2ccccc2)c2ccccc12,*c1ccc(Cc2ccccc2)c2ccccc12,*OC(=O)C(C)(C)C,O=C(O)c2ccc(Cc1ccccc1)c3ccccc23,c1([O:1][C:4](=[O:5])[C:24]([CH3:2])([CH3:3])[CH3:25])[cH:8][cH:9][c:10]([CH2:11][c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12
CN(C(=O)C(C)(C)C)c1ccc(OC(=O)C(C)(C)C)c2ccccc12,*OC(=O)C(C)(C)C,*c1ccc(N(C)C(=O)C(C)(C)C)c2ccccc12,CN(C(=O)C(C)(C)C)c1ccc(C(=O)O)c2ccccc12,c1([O:1][C:13](=[O:14])[C:15]([CH3:16])([CH3:17])[CH3:18])[cH:10][cH:9][c:8]([N:26]([C:2](=[O:3])[C:4]([CH3:5])([CH3:6])[CH3:7])[CH3:25])[c:24]2[c:19]1[cH:20][cH:21][cH:22][cH:23]2
CC(C)(C)C(=O)Oc1ccc([N+](=O)[O-])c2ccccc12,*c1ccc([N+](=O)[O-])c2ccccc12,*OC(=O)C(C)(C)C,O=C(O)c1ccc([N+](=O)[O-])c2ccccc12,c1([O:1][C:4](=[O:5])[C:20]([CH3:2])([CH3:3])[CH3:21])[cH:8][cH:9][c:10]([N+:11](=[O:12])[O-:13])[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12
