,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,X_0,Y_0,Z_0,VBur_0,Mulliken_charge_0,APT_charge_0,NPA_charge_0,NPA_core_0,NPA_valence_0,NPA_Rydberg_0,NPA_total_0,NMR_shift_0,NMR_anisotropy_0,ES_root_Mulliken_charge_0,ES_root_NPA_charge_0,ES_root_NPA_core_0,ES_root_NPA_valence_0,ES_root_NPA_Rydberg_0,ES_root_NPA_total_0,ES_transition_0,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_osc_strength_0,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_<S**2>_0,ES_<S**2>_1,ES_<S**2>_2,ES_<S**2>_3,ES_<S**2>_4,ES_<S**2>_5,ES_<S**2>_6,ES_<S**2>_7,ES_<S**2>_8,ES_<S**2>_9,at_0
COc1ccc(cc1)[Li],16,0,1,5.7423,114.0717,1053.105,1131.5949,-353.652814316,0.122257,0.13067,0.131615,0.089013,-353.538779,-353.530366,-353.529421,-353.572023,C7H7LiO,1.0,-0.1774,-0.04926,0.11333,0.06407,13.1731,1146.026,1200.4135,-4.140884,-0.540578,1.5e-05,0.35997482693517935,0.359705,0.683740,0.79322,1.99862,0.20196,0.00620,2.20678,90.7983,15.4822,-0.298147,-0.05717,1.99878,1.05565,0.00274,3.05717,446.89,406.43,336.02,291.91,287.82,285.61,284.27,251.69,248.18,242.14,0.0096,0.1009,0.0001,0.0,0.0322,0.0745,0.2204,0.0074,0.0001,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
COc1ccc(cc1)[Mg]Br,17,0,1,4.3062,211.3407,1311.338,5114.036,-3118.02131067,0.123945,0.134386,0.13533,0.085131,-3117.915755,-3117.905314,-3117.90437,-3117.954569,C7H7BrMgO,1.0,-0.2178,-0.04216,0.12997999999999998,0.08782,16.5237,1457.043,4730.3991,-1.665868,0.025451,-0.000416,0.44446192573945875,0.426511,1.107380,1.24471,9.99784,0.74140,0.01605,10.75529,516.2122,277.7997,-0.100396,0.62209,9.99831,1.34958,0.03002,11.37791,308.38,257.26,255.19,252.87,245.17,228.65,227.68,226.98,218.86,216.91,0.009,0.0001,0.0,0.2343,0.0086,0.501,0.0297,0.0383,0.0,0.0511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
COc1ccc(cc1)[Zn](C)(C)(C)([Li])[Li],30,0,1,7.9769,231.4958,2034.818,3956.8466,-2259.904673,0.23079,0.249657,0.250601,0.183644,-2259.88438,-2259.865513,-2259.864569,-2259.931526,C10H16Li2OZn,1.0,-0.20778,-0.01762,0.1127,0.09508,1.9489,2034.818,4159.8528,-2.12453,-0.503484,0.032575,0.7494493392070485,0.684629,0.908350,1.06640,17.99099,10.93588,0.00673,28.93360,1673.6729,564.4969,0.733975,1.07805,17.99052,10.92170,0.00973,28.92195,289.02,284.71,271.8,267.9,260.02,256.15,251.9,247.81,241.71,237.14,0.0022,0.0005,0.0001,0.0001,0.0284,0.0308,0.0021,0.014,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
C[Mg]Br,6,0,1,5.399,119.2437,702.508,610.1304,-2811.7492513,0.036139,0.041246,0.04219,0.007445,-2811.747358,-2811.742251,-2811.741307,-2811.776052,CH3BrMg,1.0,-0.26206,-0.04124,0.15165,0.11041000000000001,4.4355,580.333,702.0181,1.107375,0.000579,0.000289,0.42172750157331657,0.558819,0.998381,1.22522,9.99863,0.76178,0.01437,10.77478,497.1277,326.4525,0.039983,0.61535,9.99824,1.34412,0.04229,11.38465,227.04,227.04,219.18,209.8,209.76,197.2,196.65,196.65,186.41,166.24,0.0338,0.0339,0.2925,0.0592,0.0591,0.0,0.0,0.0,0.059,0.2195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Cc1cc(C)c(c(c1)C)[Li],21,0,1,5.5944,126.1259,1397.909,1453.9335,-357.085206087,0.171363,0.18112,0.182065,0.135817,-356.919037,-356.90928,-356.908336,-356.954583,C9H11Li,1.0,-0.18663,-0.04848,0.11755499999999999,0.069075,7.3968,1397.909,1516.1217,3.329941,0.075978,9e-06,0.42078351164254246,0.324129,0.669299,0.77215,1.99877,0.22469,0.00438,2.22785,90.7226,14.285,-0.016570,0.10197,1.99566,0.90022,0.00216,2.89803,409.06,404.81,368.07,304.13,285.65,282.18,275.35,272.08,257.36,249.63,0.112,0.0061,0.0003,0.0735,0.0528,0.1115,0.0256,0.0001,0.0002,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
Cc1ccc(cc1)[Zn](C)(C)(C)([Li])[Li],29,0,1,8.0589,215.4964,2019.016,2728.179,-2184.68406915,0.225836,0.244512,0.245456,0.179318,-2184.682772,-2184.664096,-2184.663152,-2184.729291,C10H16Li2Zn,1.0,-0.20877,-0.01835,0.11356000000000001,0.09521,0.3433,2262.691,2805.8948,1.377575,-0.455477,0.001043,0.7857142857142857,0.724474,0.886001,1.05653,17.99071,10.94571,0.00706,28.94347,1671.1458,488.2214,0.798122,1.08731,17.99013,10.91394,0.00862,28.91269,288.54,278.85,273.58,273.1,271.24,264.11,247.53,243.05,242.14,238.65,0.002,0.0005,0.0008,0.0,0.0121,0.0012,0.0337,0.0009,0.0087,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
Cc1cccc(c1)[Zn](C)(C)(C)([Li])[Li],29,0,1,7.9302,215.4964,1810.366,2704.5245,-2184.68423145,0.22584,0.244514,0.245458,0.179327,-2184.682768,-2184.664094,-2184.66315,-2184.729281,C10H16Li2Zn,1.0,-0.20881,-0.01839,0.11359999999999999,0.09521,0.3478,2506.661,2805.8507,-1.377215,-0.454874,0.001914,0.7856356198867213,0.724354,0.885771,1.05631,17.99071,10.94592,0.00706,28.94369,1670.5815,487.6718,0.797527,1.08708,17.99013,10.91417,0.00863,28.91292,288.55,278.84,273.62,273.12,271.23,264.09,247.62,243.05,242.19,238.69,0.002,0.0005,0.0008,0.0,0.0121,0.0012,0.0336,0.0009,0.0087,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
Cc1ccccc1[Zn](C)(C)(C)([Li])[Li],29,0,1,6.6427,215.4964,1496.65,2638.6586,-2184.69146389,0.225833,0.244511,0.245455,0.17931,-2184.682775,-2184.664097,-2184.663153,-2184.729298,C10H16Li2Zn,1.0,-0.20877,-0.01835,0.11356000000000001,0.09521,0.3429,2680.047,2805.8155,-1.377202,-0.455441,1e-05,0.7860289490245438,0.724643,0.885952,1.05639,17.99070,10.94585,0.00706,28.94361,1671.0452,487.6367,0.798428,1.08722,17.99012,10.91404,0.00862,28.91278,288.54,278.84,273.58,273.1,271.24,264.1,247.56,243.05,242.16,238.65,0.002,0.0005,0.0008,0.0,0.0121,0.0012,0.0337,0.0009,0.0087,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
Cl[Mg]C[Si](C)(C)C,18,0,1,5.5273,146.9744,1123.948,2158.4551,-1108.90817096,0.138977,0.151385,0.152329,0.099228,-1108.807259,-1108.794851,-1108.793907,-1108.847008,C4H11ClMgSi,1.0,-0.25296,-0.04408,0.14852,0.10444,8.8531,963.384,2190.9318,1.647037,-0.563909,-0.000275,0.4643643801132788,0.514580,1.054446,1.32336,9.99818,0.66035,0.01812,10.67664,518.067,296.7494,0.068876,0.92091,9.99547,1.04659,0.03703,11.07909,237.39,216.16,215.38,210.93,210.85,207.69,203.97,187.4,182.62,182.23,0.3557,0.0089,0.0096,0.0689,0.0785,0.0534,0.0033,0.0167,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Cl[Mg]c1ccc(cc1)C,16,0,1,4.0151,150.8903,890.223,2902.7708,-931.305264088,0.118596,0.127446,0.12839,0.082633,-931.198098,-931.189248,-931.188304,-931.234061,C7H7ClMg,1.0,-0.23848,-0.04625,0.142365,0.096115,15.2781,1609.25,2764.1063,-2.079319,-0.003661,-0.000174,0.43730333543108874,0.467247,1.162809,1.31727,9.99786,0.66754,0.01733,10.68273,530.8378,255.4319,-0.044324,0.68975,9.99838,1.28534,0.02653,11.31025,281.33,265.57,241.9,233.53,232.17,230.65,223.16,221.23,214.73,212.52,0.012,0.0,0.0022,0.0917,0.0,0.561,0.017,0.002,0.0126,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
