react,C0C7_num
CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,P([c:1]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)([c:2]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)[c:3]1[cH:4][cH:4][cH:4][cH:4][cH:4]1.[CH3:4][CH:4]([CH3:4])[c:4]1[cH:4][cH:4][cH:4][c:4]([CH:4]([CH3:4])[CH3:4])[c:4]1[N:4]1[CH:4]=[CH:4][N:4]([c:4]2[c:4]([CH:4]([CH3:4])[CH3:4])[cH:4][cH:4][cH:4][c:4]2[CH:4]([CH3:4])[CH3:4])[CH2:4]1
CC(C)c1cccc(C(C)C)c1N1[C]N(c2c(C(C)C)cccc2C(C)C)C=C1,[C]1[N:1]([c:5]2[c:7]([CH:7]([CH3:7])[CH3:7])[cH:7][cH:7][cH:7][c:7]2[CH:7]([CH3:7])[CH3:7])[CH:4]=[CH:3][N:2]1[c:6]1[c:7]([CH:7]([CH3:7])[CH3:7])[cH:7][cH:7][cH:7][c:7]1[CH:7]([CH3:7])[CH3:7]
CC(C)c1cccc(C(C)C)c1N1[C]N(c2c(C(C)C)cccc2C(C)C)CC1,[C]1[N:1]([c:5]2[c:7]([CH:7]([CH3:7])[CH3:7])[cH:7][cH:7][cH:7][c:7]2[CH:7]([CH3:7])[CH3:7])[CH2:4][CH2:3][N:2]1[c:6]1[c:7]([CH:7]([CH3:7])[CH3:7])[cH:7][cH:7][cH:7][c:7]1[CH:7]([CH3:7])[CH3:7]
CC(O)c1ccccc1P(c1ccccc1)c1ccccc1,P([c:1]1[cH:4][cH:4][cH:4][cH:4][c:4]1[CH:4]([CH3:4])[OH:4])([c:2]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)[c:3]1[cH:4][cH:4][cH:4][cH:4][cH:4]1
CC1(C)c2cccc(P(C3CCCCC3)C3CCCCC3)c2Oc2c(P(C3CCCCC3)C3CCCCC3)cccc21,P([c:2]1[cH:8][cH:8][cH:8][c:8]2[c:8]1[O:8][c:8]1[c:5]([P:1]([CH:6]3[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]3)[CH:7]3[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]3)[cH:8][cH:8][cH:8][c:8]1[C:8]2([CH3:8])[CH3:8])([CH:3]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:4]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1
CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,P([c:2]1[cH:8][cH:8][cH:8][c:8]2[c:8]1[O:8][c:8]1[c:5]([P:1]([c:6]3[cH:8][cH:8][cH:8][cH:8][cH:8]3)[c:7]3[cH:8][cH:8][cH:8][cH:8][cH:8]3)[cH:8][cH:8][cH:8][c:8]1[C:8]2([CH3:8])[CH3:8])([c:3]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)[c:4]1[cH:8][cH:8][cH:8][cH:8][cH:8]1
CC1=C(C)N(c2c(C(C)C)cccc2C(C)C)[C]N1c1c(C(C)C)cccc1C(C)C,[C]1[N:1]([c:5]2[c:7]([CH:7]([CH3:7])[CH3:7])[cH:7][cH:7][cH:7][c:7]2[CH:7]([CH3:7])[CH3:7])[C:4]([CH3:7])=[C:3]([CH3:7])[N:2]1[c:6]1[c:7]([CH:7]([CH3:7])[CH3:7])[cH:7][cH:7][cH:7][c:7]1[CH:7]([CH3:7])[CH3:7]
CCCCN1[C]N(c2cccc(N3[C]N(CCCC)c4ccccc43)n2)c2ccccc21,[CH3:7][CH2:7][CH2:7][CH2:5][N:2]1[C:0][N:1]([c:6]2[cH:7][cH:7][cH:7][c:7]([N:7]3[C:7][N:7]([CH2:7][CH2:7][CH2:7][CH3:7])[c:7]4[cH:7][cH:7][cH:7][cH:7][c:7]43)[n:7]2)[c:4]2[cH:7][cH:7][cH:7][cH:7][c:3]21
CCCCP(CCCC)CCCC,P([CH2:1][CH2:4][CH2:4][CH3:4])([CH2:2][CH2:4][CH2:4][CH3:4])[CH2:3][CH2:4][CH2:4][CH3:4]
CCCP(CCC)C12C3C4C5C1[Fe]45321678C2C1C6C7(P(CCC)CCC)C28,P([CH2:2][CH2:8][CH3:8])([CH2:3][CH2:8][CH3:8])[C:4]12[CH:8]3[CH:8]4[CH:8]5[CH:8]1[Fe:8]23451678[C:5]2([P:1]([CH2:6][CH2:8][CH3:8])[CH2:7][CH2:8][CH3:8])[CH:8]1[CH:8]6[CH:8]7[CH:8]28
